期數,日期,號碼1,號碼2,號碼3,號碼4,號碼5,號碼6,特別號
95096.0,2006/11/30,3.0,6.0,7.0,14.0,16.0,43.0,17.0
95097.0,2006/12/5,14.0,26.0,28.0,35.0,41.0,45.0,33.0
95098.0,2006/12/7,5.0,27.0,28.0,30.0,35.0,42.0,37.0
95099.0,2006/12/12,16.0,18.0,37.0,38.0,45.0,46.0,10.0
95100.0,2006/12/14,2.0,4.0,8.0,27.0,33.0,48.0,14.0
95101.0,2006/12/19,12.0,19.0,30.0,32.0,34.0,36.0,37.0
95102.0,2006/12/21,16.0,32.0,42.0,45.0,46.0,49.0,3.0
95103.0,2006/12/26,6.0,13.0,24.0,31.0,32.0,49.0,3.0
95104.0,2006/12/28,1.0,4.0,7.0,8.0,25.0,31.0,33.0
96001.0,2007/1/2,13.0,21.0,23.0,27.0,31.0,49.0,19.0
96002.0,2007/1/5,12.0,19.0,23.0,42.0,44.0,48.0,33.0
96003.0,2007/1/9,26.0,28.0,35.0,39.0,44.0,45.0,18.0
96004.0,2007/1/12,10.0,16.0,26.0,28.0,31.0,33.0,44.0
96005.0,2007/1/16,13.0,28.0,33.0,38.0,43.0,48.0,4.0
96006.0,2007/1/19,6.0,26.0,27.0,44.0,45.0,46.0,2.0
96007.0,2007/1/23,6.0,7.0,15.0,31.0,36.0,44.0,29.0
96008.0,2007/1/26,8.0,13.0,18.0,26.0,34.0,36.0,17.0
96009.0,2007/1/30,6.0,18.0,26.0,39.0,42.0,45.0,14.0
96010.0,2007/2/2,7.0,8.0,10.0,12.0,47.0,48.0,38.0
96011.0,2007/2/6,12.0,16.0,26.0,32.0,41.0,48.0,1.0
96012.0,2007/2/9,7.0,28.0,30.0,41.0,45.0,48.0,44.0
96013.0,2007/2/13,2.0,8.0,25.0,39.0,43.0,46.0,13.0
96014.0,2007/2/16,18.0,19.0,27.0,34.0,44.0,48.0,37.0
96015.0,2007/2/20,1.0,13.0,19.0,33.0,38.0,45.0,36.0
96016.0,2007/2/23,5.0,13.0,25.0,30.0,39.0,48.0,36.0
96017.0,2007/2/27,6.0,22.0,36.0,39.0,48.0,49.0,28.0
96018.0,2007/3/2,12.0,15.0,24.0,32.0,39.0,49.0,6.0
96019.0,2007/3/6,2.0,15.0,16.0,31.0,33.0,46.0,40.0
